player_name,exp_whiff_rate,n,exp_whiff_rate_FF,exp_whiff_rate_SI,exp_whiff_rate_SL,exp_whiff_rate_CH,exp_whiff_rate_CU,exp_whiff_rate_FC,n_FF,n_SI,n_SL,n_CH,n_CU,n_FC,f_p_str,exp_HR_rate,n1,exp_HR_rate_FF,exp_HR_rate_SI,exp_HR_rate_SL,exp_HR_rate_CH,exp_HR_rate_CU,exp_HR_rate_FC,n_FF1,n_SI1,n_SL1,n_CH1,n_CU1,n_FC1
Jason Adam,0.3269565217391304,115,0.26,0,0,0.28,0.54,0,68,0,0,21,26,0,0.5689655172413793,0.03534482758620689,58,0.04,0,0,0.03,0.03,0,31,0,0,13,14,0
Aroldis Chapman,0.32673267326732675,101,0.29,0.29,0.42,0.53,0,0,69,6,23,3,0,0,0.6444444444444445,0.032,45,0.03,0.06,0.03,0.02,0,0,25,4,13,3,0,0
James Karinchak,0.3263492063492064,189,0.27,0,0,0,0.42,0,118,0,0,0,71,0,0.6422018348623854,0.03422018348623853,109,0.04,0,0,0,0.03,0,46,0,0,0,63,0
Michael Lorenzen,0.32575091575091575,273,0.26,0.15,0.52,0.39,0.38,0.24,84,15,48,54,11,61,0.5655172413793104,0.03344827586206897,145,0.04,0.02,0.02,0.02,0.02,0.05,51,9,19,27,8,31
Mike Clevinger,0.3243243243243243,296,0.22,0,0.42,0.33,0.39,0.33,120,0,106,20,33,17,0.5636363636363636,0.03412121212121212,165,0.04,0,0.03,0.05,0.02,0.03,58,0,60,15,20,12
Raisel Iglesias,0.32377142857142854,175,0.23,0.15,0.4,0.39,0,0,58,12,57,48,0,0,0.6987951807228916,0.03166666666666666,84,0.04,0.03,0.04,0.01,0,0,31,13,21,19,0,0
Drew Smith,0.32339285714285715,56,0.28,0,0,0.25,0.44,0.36,23,0,0,7,7,19,0.5,0.04071428571428572,28,0.04,0,0,0,0.02,0.05,14,0,0,0,4,10
Lucas Sims,0.3229281767955801,181,0.28,0,0.38,0.08,0.39,0,105,0,28,1,47,0,0.5196078431372549,0.03230769230769231,104,0.04,0,0.01,0.02,0.03,0,59,0,17,1,27,0
Luis Cessa,0.3209574468085107,188,0.18,0.15,0.4,0.33,0.17,0,25,27,101,34,1,0,0.6372549019607843,0.026960784313725495,102,0.04,0.03,0.03,0.01,0,0,13,9,58,22,0,0
Kyle McGowin,0.32083333333333336,96,0.22,0.14,0.36,0,0,0,8,12,76,0,0,0,0.5319148936170213,0.03130434782608695,46,0.06,0.03,0.03,0,0,0,2,8,36,0,0,0
