p_throws,stand,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
L,R,Sam Howard,,,,17,,9,4.37,4.81,13,5,10,90
L,R,Sam Selman,,,,68,,33,3.77,4.28,12.2,3.3,11,82
L,R,Scott Alexander,,,,,26,,3.99,4.99,8,2,15.4,51
L,R,Sean Manaea,25,0,,,53,,4.32,3.93,9.1,3.2,3.6,222
L,R,Sean Newcomb,11,,,53,,,4.19,4.41,10.4,3.5,8.6,70
L,R,Stephen Tarpley,,,,,26,,4.64,5.19,8.5,3.6,11.3,51
L,R,Steven Brault,80,,,53,53,35,3.51,4.16,11.7,2.6,12.4,176
L,R,Steven Matz,31,63,,,12,,4.1,4.13,11.1,3.6,7,143
L,R,T.J. McFarland,61,,,,38,,3.74,3.53,8.8,1.8,5.4,93
L,R,Tanner Scott,,,,93,,96,2.51,3.08,16.5,2.5,11.6,87
L,R,Tarik Skubal,14.000000000000002,85,,50,,40,4.24,4.44,12.9,4.7,8.2,133
L,R,Taylor Hearn,,,,61,,77,3.65,4.59,13.5,3.6,14.5,74
L,R,Taylor Rogers,,,,,40,67,3.57,3.26,11,2.4,4.4,94
L,R,Tim Hill,,,,80,14.000000000000002,,4.54,4.5,9.8,4,6.3,78
L,R,Tommy Milone,74,,,0,,,4.93,4.57,11.4,5.5,3.3,181
L,R,Tony Watson,15,,,,24,,4.07,3.73,9.8,2.9,4.1,74
L,R,Trevor Rogers,87,,,17,,74,4.1,4.5,11.6,3.8,10,130
L,R,Tyler Alexander,61,,73,13,36,22,3.79,3.67,10.9,2.9,5.9,147
L,R,Tyler Anderson,35,,28.000000000000004,6,,,4.26,4.62,11.5,4.1,9.6,261
L,R,Tyler Matzek,,,,85,,28.999999999999996,3.37,3.55,13.1,2.9,8.3,121
L,R,Tyler Webb,48,,,27,,,4.14,4.27,9.5,3,8,87
L,R,Victor Gonzalez,,,,,40,99,2.99,2.43,12.2,1.7,2.5,80
L,R,Wade LeBlanc,48,,9,,60,,4.57,4.71,10.1,4.2,7.8,103
L,R,Wade Miley,68,,61,,,,3.24,4.02,12.8,2.5,13.4,66
L,R,Wandy Peralta,68,,,74,,73,2.96,3.28,14.3,2.5,9.6,108
L,R,Wes Benjamin,56.99999999999999,,,9,,3,4.57,4.65,11.4,4.7,7.1,98
L,R,Will Smith,,,,27,,50,3.92,3.9,12.4,3.8,6.5,62
L,R,Yusei Kikuchi,61,,57.99999999999999,90,,50,3.66,4.09,12.4,3.2,10.3,194
L,R,Zack Britton,,,,,60,,3.91,4.17,8.8,2.2,9.2,77
R,L,A.J. Cole,,,,28.999999999999996,,11,4.33,4.45,13.2,5,7.4,96
R,L,Aaron Civale,52,64,37,,4,,3.97,3.76,10.5,3.1,5.1,313
R,L,Aaron Nola,37,,,50,40,,3.55,3.6,12,2.8,7.3,287
R,L,Aaron Slegers,,,,27,,,4.43,3.98,9.6,3.7,3,99
R,L,Adam Cimber,,,,3,,,5.29,5.02,9.8,5.6,4.1,54
R,L,Adam Ottavino,,,,,14.000000000000002,,4.21,4.67,10.5,3.6,10.6,85
R,L,Adam Plutko,,,,35,,18,4.48,4.41,10.6,4.2,6,116
R,L,Adam Wainwright,,13,32,34,7.000000000000001,,4.65,4.52,8.5,3.6,5.7,262
R,L,Adbert Alzolay,,,,21,40,22,3.86,4.83,11.2,3.1,14.9,87
R,L,Adrian Houser,45,20,,45,20,,4.05,4.24,8.9,2.6,8.5,249
R,L,Alec Mills,37,5,,2,5,,4.88,4.97,7.6,3.7,7.5,254
R,L,Alex Cobb,68,,,,9,,3.8,3.92,10.2,2.6,8,226
R,L,Alex Colome,,,92,51,,,3.05,3.29,13.7,2.5,8.9,93
R,L,Alex Reyes,,,,96,,,2.88,3.87,15.2,2.7,15.1,86
R,L,Anibal Sanchez,85,,22,5,,,4.07,4.03,10.3,3.2,6.5,244
R,L,Anthony Bass,,,,,14.000000000000002,28.000000000000004,3.72,3.72,10.7,2.6,7,98
R,L,Anthony DeSclafani,15,,,76,24,67,3.53,3.93,12.6,3,10.1,161
R,L,Antonio Senzatela,5,64,,51,,62,4.1,3.99,9.8,3,5.9,303
R,L,Archie Bradley,25,,,45,,,4.71,4.41,9.7,4.3,4.1,72
R,L,Asher Wojciechowski,,7.000000000000001,,21,,33,4.31,4.59,10.9,4,8.9,167
R,L,Austin Brice,,64,,40,,,4.39,5.36,8.9,3.3,14.9,88
R,L,Austin Voth,,34,,35,,,5.05,5.13,9.3,4.9,7.1,223
R,L,Blake Parker,85,,,44,,,4.3,4.71,10.8,3.9,10.1,67
R,L,Blake Treinen,,,,,60,,3.5,3.44,10.5,2,6.5,107
R,L,Brad Boxberger,68,,,35,,,3.84,4.25,12.3,3.6,10.1,79
R,L,Brad Keller,,,,59,9,81,3.98,4.1,9.2,2.5,7.9,215
R,L,Brady Singer,52,,,,24,33,3.89,4.1,9.8,2.6,8.7,263
R,L,Brandon Bielak,85,,,35,,,4.35,4.93,10.6,3.9,11.5,148
R,L,Brandon Kintzler,,,,,20,,4.73,4.85,6.6,3,7.9,97
R,L,Brandon Woodruff,61,87,,93,67,,3.28,3.18,12.8,2.6,6.1,291
R,L,Brandon Workman,88,,34,67,,,4.11,4.63,12,4,10.9,99
R,L,Brusdar Graterol,,,,,53,,3.36,2.92,10.6,1.8,3.4,88
R,L,Bryan Garcia,52,,,,67,,3.98,4.45,10.2,2.9,10.8,90
R,L,Bryse Wilson,,,,53,,,3.94,4.61,11.6,3.5,12.3,73
R,L,Buck Farmer,97,,,13,,,3.79,3.65,12.1,3.4,5.6,84
R,L,Cal Quantrill,76,,,,24,22,3.83,3.63,11,3,5.2,133
R,L,Cam Bedrosian,,,,35,,33,4.36,4.81,10.9,4.1,10.3,59
R,L,Cam Hill,,,,35,,,4.84,4.72,9.7,4.6,5.6,80
R,L,Carlos Carrasco,68,,,61,26,74,3.16,3.49,14,2.8,9.6,280
R,L,Carlos Estevez,,,,81,,,3.94,4.08,12.8,4,7.8,116
R,L,Carlos Hernandez,,,,,60,,4.09,4.36,11.3,3.7,9,67
R,L,Carlos Martinez,85,,,35,,28.000000000000004,3.68,3.77,10.8,2.6,7.7,102
R,L,Casey Mize,68,,,40,26,,3.78,4.14,11.6,3.1,9.8,132
R,L,Casey Sadler,,90,68,,26,,3.79,4.65,11.3,3,14,86
R,L,Cesar Valdez,7.000000000000001,,,,,,3.67,3.54,12.1,3.1,5.7,53
R,L,Chad Green,,,,85,,,3.92,3.83,11.7,3.5,6,98
R,L,Chad Kuhl,11,,,,67,20,3.97,4.87,11.5,3.5,14.2,198
R,L,Charlie Morton,,34,,53,,,4.13,4.03,10.5,3.4,5.9,171
R,L,Chase Anderson,76,,,35,,,4.1,4.08,11.2,3.7,6.5,140
R,L,Chi Chi Gonzalez,,,,51,,,4.63,5.15,8.8,3.7,11,91
R,L,Chris Bassitt,21,17,23,74,40,,4.55,4.52,8.6,3.5,6.5,262
R,L,Chris Martin,,,,,36,,4.03,3.58,11.1,3.4,3,65
R,L,Chris Mazza,,,43,,20,22,4.12,4.63,10.4,3.3,11,136
R,L,Chris Paddack,19,2,,53,,,4.8,4.61,10.2,4.7,4.9,248
R,L,Chris Stratton,61,59,,45,,,3.45,3.82,13.2,3.1,9.9,132
R,L,Codi Heuer,,,,,78,40,3.71,4.07,11.4,2.9,9.8,92
R,L,Cody Ponce,,,,13,,,4.68,4.97,9.2,4,9.1,66
R,L,Cody Stashak,,,,28.999999999999996,,,4.18,4.03,12.2,4.3,5.3,57
R,L,Cole Sulser,93,,,27,,,3.64,4.76,13.4,3.6,16,99
R,L,Colin Rea,,,,35,,,4.71,4.3,9.2,4.1,3.2,62
R,L,Colten Brewer,,33,73,,,,3.48,4.05,13.4,3.2,11.5,122
R,L,Corbin Burnes,85,87,99,,67,,2.82,3.18,14.5,2.3,10,241
R,L,Corey Knebel,0,,,61,,,4.15,4.91,12.4,4.2,12.9,62
R,L,Corey Oswalt,,,,12,,,4.22,3.87,12.3,4.4,3.6,55
R,L,Craig Kimbrel,80,,,96,,,3.34,4.45,14.9,3.6,15.9,70
R,L,Craig Stammen,,,,,40,,4.36,3.99,8.5,3,3.8,104
R,L,Cristian Javier,19,,,28.999999999999996,,15,4.27,4.5,12,4.4,8.4,214
R,L,Dakota Hudson,,64,,27,26,9,3.98,4.26,9.1,2.5,9.3,150
R,L,Dan Altavilla,,,,82,,1,3.06,3.9,17.2,4,13.5,89
R,L,Dan Winkler,,,81,,,,3.95,4.9,12.3,3.8,14.5,76
R,L,Dane Dunning,37,,,27,7.000000000000001,,4.22,4.51,9.5,3.1,9.2,142
R,L,Daniel Bard,,,,85,,5,3.48,3.56,13.2,3.2,7.5,103
R,L,Daniel Hudson,,,,88,,,3.69,4.35,14.4,4.1,12,91
R,L,Daniel Mengden,,,,6,,,4.76,5.42,9.7,4.4,12.1,58
R,L,Daniel Ponce de Leon,,3,,21,,,4.99,5.89,9.2,4.7,14,143
R,L,Darren O'Day,,,,5,,,4.83,4.95,9.5,4.5,7.5,67
R,L,David Hale,21,,,35,,,4.44,4.27,9.6,3.7,5.3,75
R,L,David Phelps,88,,23,,6,,4.68,4.59,9.8,4.3,5.9,85
R,L,Dean Kremer,,17,,12,,,4.81,5.77,9.3,4.3,14.5,83
R,L,Deivi Garcia,32,,,40,,,4.1,3.8,12.3,4.1,4.1,146
R,L,Dellin Betances,,,,51,,,4.97,6.61,8.2,4.2,20.3,60
R,L,Dennis Santana,9,,,,,,3.65,3.98,11.6,2.8,9.6,73
R,L,Devin Williams,87,,,88,,,2.39,2.64,17.4,2.6,9,100
R,L,Diego Castillo,,,,,,11,3.07,3.72,13,2.2,12.4,89
R,L,Dillon Tate,,,,,60,,3.95,4.07,11.1,3.3,7.8,66
R,L,Dinelson Lamet,,,,81,67,12,3.48,3.58,14,3.5,7.5,267
R,L,Dovydas Neverauskas,,92,,45,,,3.93,4.47,11.9,3.6,11.2,89
R,L,Drew Rasmussen,,,,90,,,3.2,3.91,14.4,3.1,12.7,71
R,L,Duane Underwood Jr.,52,,,67,,,3.95,3.82,11.5,3.4,5.7,87
