player_name,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
Wes Benjamin,4.57,4.65,11.4,4.7,7.1,98
Ryan Weber,4.59,4.68,7.4,3,7.6,185
Gregory Soto,4.6,5.41,10.5,4.4,13.3,98
Jarlin Garcia,4.6,4.96,10.5,4.4,9.5,73
Taijuan Walker,4.62,4.84,10.5,4.4,8.4,225
Chi Chi Gonzalez,4.63,5.15,8.8,3.7,11,91
Brad Hand,4.63,4.4,9.6,4.1,4.7,86
Ivan Nova,4.63,5.03,6.8,2.9,10.2,67
Stephen Tarpley,4.64,5.19,8.5,3.6,11.3,51
Jimmy Herget,4.65,5.64,9.8,4.2,14.9,83
Franklyn Kilome,4.65,5.71,9,3.9,15.5,58
Adam Wainwright,4.65,4.52,8.5,3.6,5.7,262
Julio Teheran,4.65,5.13,8.5,3.7,10.7,148
Joey Gerber,4.65,4.84,10.8,4.6,8.1,62
Stefan Crichton,4.66,4.4,7.7,3.3,4.6,105
Ryne Harper,4.66,4.62,8.4,3.7,6.4,108
Josh Tomlin,4.68,4.32,9.4,4.1,3.7,161
Cody Ponce,4.68,4.97,9.2,4,9.1,66
David Phelps,4.68,4.59,9.8,4.3,5.9,85
Erasmo Ramirez,4.68,4.77,8.1,3.5,7.5,53
Brady Lail,4.69,5.1,10.4,4.5,9.9,71
Tanner Roark,4.69,5.16,9.5,4.2,10.5,220
Nick Pivetta,4.71,4.96,11.1,4.9,8.5,71
Archie Bradley,4.71,4.41,9.7,4.3,4.1,72
Matt Hall,4.71,6.13,8.5,3.8,18.5,54
Colin Rea,4.71,4.3,9.2,4.1,3.2,62
Caleb Thielbar,4.72,5.24,9.3,4.2,11,84
Brandon Kintzler,4.73,4.85,6.6,3,7.9,97
Spencer Howard,4.75,5.02,10.1,4.6,8.8,113
Daniel Mengden,4.76,5.42,9.7,4.4,12.1,58
Wilmer Font,4.76,5.25,9.5,4.3,10.6,81
Brent Suter,4.76,4.4,6.4,3,3.9,123
Keegan Akin,4.78,5.05,11.6,5.2,8.6,117
Zach Davies,4.78,4.82,9.4,4.3,6.9,275
John Schreiber,4.79,4.51,8.6,4,4.3,69
Eric Lauer,4.8,5.79,9.8,4.5,14.8,61
Chris Paddack,4.8,4.61,10.2,4.7,4.9,248
Brad Brach,4.81,7.09,10.2,4.7,25.4,59
Dean Kremer,4.81,5.77,9.3,4.3,14.5,83
Darren O'Day,4.83,4.95,9.5,4.5,7.5,67
Cam Hill,4.84,4.72,9.7,4.6,5.6,80
Justin Dunn,4.84,5.88,10,4.7,15.2,197
Elieser Hernandez,4.85,4.65,10.6,5,4.7,107
Rick Porcello,4.85,4.74,8.1,3.9,5.7,263
Jesse Chavez,4.86,5.15,7.7,3.8,9.1,76
Alec Mills,4.88,4.97,7.6,3.7,7.5,254
Jaime Barria,4.9,4.86,10.4,5,6.1,131
Hoby Milner,4.91,5.33,7.3,3.7,10.2,58
Tommy Milone,4.93,4.57,11.4,5.5,3.3,181
Marco Gonzales,4.94,4.44,8.1,4.1,2.5,277
Robbie Erlin,4.96,4.77,9.8,4.9,4.9,121
Dellin Betances,4.97,6.61,8.2,4.2,20.3,60
Daniel Ponce de Leon,4.99,5.89,9.2,4.7,14,143
Eric Yardley,5.03,5.47,8.1,4.3,10.3,97
Austin Voth,5.05,5.13,9.3,4.9,7.1,223
Kyle Hendricks,5.08,4.54,7,3.9,2.2,315
Derek Holland,5.08,5.34,11.3,5.8,8.4,182
Madison Bumgarner,5.08,5.02,10.6,5.5,5.8,188
Humberto Castellanos,5.12,5.51,8.4,4.6,9.8,51
Tyler Clippard,5.16,4.91,11.4,6,4.1,98
Mike Fiers,5.18,5.15,9,5,6.2,258
Thomas Eshelman,5.27,5.32,8.2,4.8,6.9,145
Devin Smeltzer,5.28,5.35,10.2,5.7,6.9,72
Nick Vincent,5.28,5.3,9.1,5.2,6.5,92
Adam Cimber,5.29,5.02,9.8,5.6,4.1,54
Yusmeiro Petit,5.35,5.26,8.2,5,5.7,92
