pitch_type,p_throws,stand,player_name,actual_whiff,mph,rpm,axis,pfx_x,pfx_z,exp_whiff_rate,n
SL,R,L,Garrett Richards,0.30434782608695654,88.3586956521739,2903.782608695652,75.6304347826087,0.26304347826086955,-0.2728260869565217,0.42,46
SL,R,L,Tyler Zuber,0.09090909090909083,84.8,2759.681818181818,75.77272727272727,0.5968181818181818,0.011818181818181814,0.39,22
SL,R,L,Chris Stratton,0.06666666666666665,86.94666666666667,2821.4,166.33333333333334,0.428,0.05733333333333333,0.38,15
SL,R,L,Dan Altavilla,0.26315789473684204,89.95263157894736,2618.9473684210525,148.3684210526316,0.20894736842105263,0.5447368421052632,0.38,19
SL,R,L,Shaun Anderson,0.2142857142857142,88.00714285714285,2674,114.85714285714286,0.43142857142857144,0.19428571428571428,0.37,14
SL,R,R,Luis Castillo,0.16363636363636358,86.75636363636363,2486.6363636363635,168.27272727272728,-0.015272727272727273,0.027272727272727275,0.34,55
SL,R,R,Ken Giles,0.4545454545454546,84.9,2177.2727272727275,287,-0.19272727272727275,0.38727272727272727,0.33,11
SL,R,R,Bryan Garcia,0.26086956521739135,87.51304347826087,2424.695652173913,149.56521739130434,0.2082608695652174,0.22130434782608696,0.32,23
SL,R,R,Daniel Hudson,0.2222222222222221,85.5111111111111,2507.777777777778,98.11111111111111,0.145,0.05,0.32,18
SL,R,R,Edwin Diaz,0.3695652173913042,89.36304347826086,2314.8695652173915,180.8913043478261,0.11847826086956521,0.3373913043478261,0.32,46
SL,R,R,Felix Pena,0.1785714285714286,84.44285714285714,2465.714285714286,198.10714285714286,-0.1805357142857143,0.22839285714285715,0.32,56
SL,R,R,Gerrit Cole,0.30000000000000004,88.4225,2577.45,144.6,0.42291666666666666,0.2715,0.32,120
SL,R,R,Giovanny Gallegos,0.48571428571428577,85.53428571428572,2434.5142857142855,98.88571428571429,0.18628571428571428,0.02142857142857143,0.32,35
SL,R,R,Max Scherzer,0.35514018691588767,85.50841121495327,2396.7102803738317,139.47663551401868,0.3469158878504673,0.19728971962616823,0.32,107
SL,R,R,Michael Pineda,0.25,82.77272727272728,2042.1363636363637,246.45454545454547,0.025227272727272727,0.08227272727272728,0.32,44
SL,R,R,Miguel Castro,0.2325581395348837,87.08372093023256,2937.186046511628,174.72093023255815,0.5332558139534884,0.16837209302325581,0.32,43
SL,R,R,Taylor Williams,0.1351351351351351,85.96756756756757,2527.810810810811,122.4054054054054,0.03837837837837838,0.13027027027027027,0.32,37
SL,R,R,Ty Buttrey,0.06976744186046502,82.32093023255814,1912.4651162790697,258.74418604651163,0.05418604651162791,-0.2183720930232558,0.32,43
SL,R,R,Tyler Mahle,0.22222222222222232,87.42333333333333,2650.9333333333334,141.8111111111111,0.2975555555555556,0.3194444444444445,0.32,90
